Designator,Mid X,Mid Y,Rotation,Layer
C1,233.5565,-133.35,180.0,top
C13,106.95,-71.525,270.0,top
C14,105.35,-71.525,270.0,top
C15,103.75,-71.525,270.0,top
C16,123.26,-64.15,0.0,top
C17,117.55,-73.35,0.0,top
C19,134.25,-80.7,90.0,top
C2,233.5565,-122.2195,180.0,top
C20,134.55,-69.525,270.0,top
C3,233.5565,-111.11,180.0,top
C4,233.5565,-100.076,180.0,top
C5,233.5565,-88.9,180.0,top
C6,233.5565,-77.692,180.0,top
C7,220.88,-100.49,180.0,top
C8,189.108,-128.947,180.0,top
C9,206.634,-128.947,180.0,top
CN-ADC1,187.96,-145.3985,180.0,top
CN-BTN1,239.522,-131.318,270.0,top
CN-BTN2,239.522,-120.1674,270.0,top
CN-BTN3,239.522,-109.0168,270.0,top
CN-BTN4,239.522,-97.8662,270.0,top
CN-BTN5,239.522,-86.7156,270.0,top
CN-BTN6,239.522,-75.565,270.0,top
CN-GPIO1,118.11,-145.3985,180.0,top
CN-I2C1,153.67,-145.3985,180.0,top
CN-LCD1,133.477,-145.3985,180.0,top
CN-PTT1,169.164,-145.3985,180.0,top
CN-PWR1,95.6475,-71.55,90.0,top
CN-R1,156.464,-60.0875,0.0,top
CN-R2,168.821,-60.0875,0.0,top
CN-R3,181.102,-60.0875,0.0,top
CN-R4,193.294,-60.0875,0.0,top
CN-R5,205.486,-60.0875,0.0,top
CN-R6,217.932,-60.0875,0.0,top
CN-RST1,95.6475,-131.064,90.0,top
D1,112.15,-80.95,90.0,top
D2,139.85,-63.15,0.0,top
D3,158.824199,-81.114,0.0,top
D4,171.132199,-81.114,0.0,top
D5,183.440199,-81.114,0.0,top
D6,195.748199,-81.114,0.0,top
D7,208.056199,-81.114,0.0,top
D8,220.5075,-81.114,0.0,top
J1,139.26,-132.4605,270.0,top
J2,212.471,-145.542,180.0,top
J3,125.73,-115.9,90.0,top
J4,125.73,-87.5,90.0,top
J5,201.676,-145.3985,180.0,top
J6,223.266,-145.6525,180.0,top
L1,126.35,-77.75,90.0,top
Q1,153.373801,-79.4145,90.0,top
Q2,165.681801,-79.4145,90.0,top
Q3,177.989801,-79.4145,90.0,top
Q4,190.297801,-79.4145,90.0,top
Q5,202.605801,-79.4145,90.0,top
Q6,214.913801,-79.4145,90.0,top
R1,233.5765,-129.35,0.0,top
R10,233.5765,-86.9,0.0,top
R11,233.5765,-73.692,0.0,top
R12,233.5765,-75.692,0.0,top
R13,158.804199,-78.6145,0.0,top
R14,158.804199,-83.4,0.0,top
R15,171.112199,-83.4,0.0,top
R16,171.112199,-78.6145,0.0,top
R17,151.528,-135.3464,270.0,top
R18,155.378,-135.3339,270.0,top
R19,117.35,-67.55,180.0,top
R2,233.5765,-131.35,0.0,top
R20,113.775,-67.55,180.0,top
R21,135.4375,-63.15,180.0,top
R22,183.420199,-83.4,0.0,top
R23,183.420199,-78.6145,0.0,top
R24,195.728199,-83.4,0.0,top
R25,195.728199,-78.6145,0.0,top
R26,208.036199,-83.4,0.0,top
R27,208.036199,-78.6145,0.0,top
R28,220.4875,-83.4,0.0,top
R29,220.344199,-78.6145,0.0,top
R3,233.5765,-118.2195,0.0,top
R30,170.3875,-135.4,0.0,top
R31,170.4,-137.45,0.0,top
R32,194.95,-140.377,0.0,top
R33,190.886,-140.377,0.0,top
R34,190.886,-136.821,180.0,top
R35,187.076,-140.377,0.0,top
R36,194.95,-136.821,180.0,top
R37,187.076,-136.821,180.0,top
R38,183.3695,-140.377,0.0,top
R39,183.3695,-136.821,180.0,top
R4,233.5765,-120.2195,0.0,top
R40,222.1465,-140.377,180.0,top
R44,204.9595,-140.377,0.0,top
R45,204.9595,-137.075,180.0,top
R46,201.1495,-140.377,0.0,top
R47,201.1495,-137.075,180.0,top
R48,181.356,-128.524,270.0,top
R49,198.882,-129.3895,270.0,top
R5,233.5765,-107.11,0.0,top
R50,211.4785,-140.377,180.0,top
R6,233.5765,-109.11,0.0,top
R7,233.5765,-96.076,0.0,top
R8,233.5765,-98.076,0.0,top
R9,233.5765,-84.9,0.0,top
RLA1,156.379,-71.858,180.0,top
RLA2,168.687,-71.858,180.0,top
RLA3,180.995,-71.858,180.0,top
RLA4,193.303,-71.858,180.0,top
RLA5,205.611,-71.858,180.0,top
RLA6,217.919,-71.858,180.0,top
U1,125.62,-101.72184,90.0,top
U2,220.93,-106.49,180.0,top
U3,189.108,-131.741,270.0,top
U4,206.634,-131.757,270.0,top
U5,111.85,-71.44,180.0,top
U6,140.35,-70.925,0.0,top
